COVLEX_ID	COVLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
1	àcid desoxiribonucleic ||| ADN ||| DNA	ca	01012021		àcid desoxiribonucleic ||| ADN ||| DNA			àcid desoxiribonucleic	ADN ||| DNA	Àcid nucleic constituït per nucleòtids de desoxiribosa, àcid fosfòric i les bases nitrogenades adenina, citosina, guanina i timina, que es troba fonamentalment en el nucli, en els mitocondris i en els cloroplasts, i que constitueix la base molecular de l'herència biològica.	NOTA: 1. La sigla ADN té un ús divulgatiu, mentre que en àmbits especialitzats se sol utilitzar la sigla anglesa DNA. Aquesta recomanació és aplicable també a la parella de sigles ADN- DNA, atès que són les formes clarament identificables dins la comunitat científica internacional. Anàlogament, les sigles creades a partir d'aquestes formes segueixen preferentment l'ordre internacional (mtDNA, rDNA, tRNA...), i només secundàriament i en un àmbit divulgatiu es formen a partir de l'ordre romànic ADN i ARN (ADNmt, ADNr, ARNt...). NOTA: 2. La sigla DNA correspon a l'equivalent anglès deoxyribonucleic acid.
2	àcid ribonucleic ||| ARN ||| RNA	ca	01012021		àcid ribonucleic ||| ARN ||| RNA			àcid ribonucleic	ARN ||| RNA	Àcid nucleic constituït per nucleòtids de ribosa, àcid fosfòric i les bases nitrogenades adenina, citosina, guanina i uracil, que es troba fonamentalment en el nucli, en els ribosomes, en els mitoribosomes i en els plastoribosomes.	NOTA: 1. La sigla ARN té un ús divulgatiu, mentre que en àmbits especialitzats se sol utilitzar la sigla anglesa RNA. Aquesta recomanació és aplicable també a la parella de sigles ADN- DNA, atès que són les formes clarament identificables dins la comunitat científica internacional. Anàlogament, les sigles creades a partir d'aquestes formes segueixen preferentment l'ordre internacional (mtDNA, rDNA, tRNA...), i només secundàriament i en un àmbit divulgatiu es formen a partir de l'ordre romànic ADN i ARN (ADNmt, ADNr, ARNt...). NOTA: 2. La sigla RNA correspon a l'equivalent anglès ribonucleic acid.
3	adequació de les actuacions sanitàries ||| adequació de l'esforç terapèutic ||| limitació de l'esforç terapèutic ||| LET	ca	01012021		adequació de les actuacions sanitàries ||| adequació de l'esforç terapèutic ||| limitació de l'esforç terapèutic ||| LET			adequació de les actuacions sanitàries	adequació de l'esforç terapèutic ||| limitació de l'esforç terapèutic ||| LET	Decisió clínica que comporta l'aplicació de les actuacions sanitàries que afavoreixen el màxim benestar al pacient i l'abstenció de les que no li aporten prou beneficis, tenint en compte la seva situació concreta.	NOTA: 1. Al final de la vida, quan ja no es preveu una recuperació de la malaltia amb una qualitat de vida acceptable, l'adequació de les actuacions sanitàries facilita l'evolució cap a la mort sense provocar-la ni prolongar inútilment l'agonia amb tractaments fútils. NOTA: 2. La denominació limitació de l'esforç terapèutic, que és la que té més tradició, s'està substituint progressivament per les denominacions adequació de les actuacions sanitàries o adequació de l'esforç terapèutic, que es consideren semànticament més adequades.
4	aerosol	ca	01012021		aerosol			aerosol		Cadascuna de les petites gotes de saliva o de fluid respiratori menors de 100 micròmetres que, en romandre més temps a l'aire i viatjar a distàncies més llargues que les gotetes respiratòries, tenen una infecciositat potencial més elevada.	
5	agent biològic	ca	01012021		agent biològic			agent biològic		Agent nociu animal o vegetal, generalment capaç de fer un cicle vital complet, que pot provocar malalties infeccioses, parasitàries, al·lèrgiques o tòxiques.	
6	agrupament	ca	01012021		agrupament			agrupament		Subconjunt d'elements d'una mostra que s'agrupen en realitzar una anàlisi d'agrupaments.	
7	aïllament	ca	01012021		aïllament			aïllament		Conjunt de mesures que s'apliquen a una persona amb una malaltia contagiosa durant el període en què la malaltia és transmissible per a evitar el contagi d'altres persones.	NOTA: 1. L'aïllament pot ser total, quan comporta el confinament del pacient, o bé limitat, quan es restringeix a les vies de transmissió (aïllament respiratori, aïllament entèric, etc.). NOTA: 2. En llengua general, aïllament té un significat més ampli que en l'àmbit de les ciències de la salut, ja que únicament indica l'acció de separar una persona o una cosa de la resta. És per aquest motiu que, en un ús no especialitzat, també es pot aplicar a persones que han estat separades tot i estar en observació o bé fins i tot com a mesura preventiva.
8	aleatori -òria ||| estocàstic -a ||| probabilístic -a	ca	01012021		aleatori -òria ||| estocàstic -a ||| probabilístic -a			aleatori -òria	estocàstic -a ||| probabilístic -a	Que depèn de l'atzar.	
9	anakinra	ca	01012021		anakinra			anakinra		Fàrmac analgèsic i antiinflamatori que neutralitza l'activitat biològica de les interleucines 1 alfa i 1 beta mitjançant la inhibició competitiva del receptor de tipus I de la interleucina 1.	NOTA: L'anakinra és una proteïna recombinant que s'empra en el tractament de l'artritis reumatoide, de la malaltia inflamatòria multisistèmica d'inici neonatal i de les síndromes periòdiques associades a la criopirina. Se n'ha suggerit l'ús per al tractament de casos greus de la COVID-19. NOTA: La denominació anakinra és la forma catalana corresponent a la DCI.
10	ansietat anticipatòria	ca	01012021		ansietat anticipatòria			ansietat anticipatòria		Ansietat provocada pel pensament o l'amenaça d'estar exposat de nou a una situació que en una ocasió prèvia ha desencadenat una resposta d'ansietat.	
11	analgèsic ||| antiàlgic	ca	01012021		analgèsic ||| antiàlgic			analgèsic	antiàlgic	Fàrmac o agent que suprimeix el dolor.	NOTA: Dins dels analgèsics, es distingeixen els analgèsics menors i els analgèsics majors. Els analgèsics menors tenen una acció general sobre el sistema nerviós central que fa que, alhora que es calma el dolor, baixi la temperatura corporal; a més, també solen tenir efecte antiinflamatori. Els analgèsics majors, en molts casos derivats de la morfina, actuen sobre el centre del dolor del sistema nerviós central i són més potents, però tenen el desavantatge de produir habituació.
12	antibiòtic	ca	01012021		antibiòtic			antibiòtic		Fàrmac o agent que actua contra microorganismes, els elimina o n'inhibeix el creixement i la reproducció.	NOTA: Els antibiòtics poden tenir acció bacteriostàtica, si es limiten a inhibir el creixement dels bacteris, o bactericida, si arriben a destruir-los.
