MENLEX_ID	MENLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
1	angiogammagrafia ||| angiografia per raigs gamma	ca	01012021		angiogammagrafia ||| angiografia per raigs gamma			angiogammagrafia	angiografia per raigs gamma
2	angiogammagrafia cerebral ||| angiografia per raigs gamma cerebral	ca	01012021		angiogammagrafia cerebral ||| angiografia per raigs gamma cerebral			angiogammagrafia cerebral	angiografia per raigs gamma cerebral
3	angiogammagrafia hepatoesplènica ||| angiografia per raigs gamma hepatoesplènica	ca	01012021		angiogammagrafia hepatoesplènica ||| angiografia per raigs gamma hepatoesplènica			angiogammagrafia hepatoesplènica	angiografia per raigs gamma hepatoesplènica
4	angiogammagrafia renal ||| angiografia per raigs gamma renal	ca	01012021		angiogammagrafia renal ||| angiografia per raigs gamma renal			angiogammagrafia renal	angiografia per raigs gamma renal
5	angiogammagrafia testicular ||| angiografia per raigs gamma testicular	ca	01012021		angiogammagrafia testicular ||| angiografia per raigs gamma testicular			angiogammagrafia testicular	angiografia per raigs gamma testicular
6	captació tiroidal del iode	ca	01012021		captació tiroidal del iode			captació tiroidal del iode	
7	cinètica eritrocitària	ca	01012021		cinètica eritrocitària			cinètica eritrocitària	
8	cinètica plaquetària	ca	01012021		cinètica plaquetària			cinètica plaquetària	
9	cinètica tiroidal del iode	ca	01012021		cinètica tiroidal del iode			cinètica tiroidal del iode	
10	cisternogammagrafia	ca	01012021		cisternogammagrafia			cisternogammagrafia	
11	cistogammagrafia directa ||| cistografia per raigs gamma directa	ca	01012021		cistogammagrafia directa ||| cistografia per raigs gamma directa			cistogammagrafia directa	cistografia per raigs gamma directa
12	cistogammagrafia indirecta ||| cistografia per raigs gamma indirecta	ca	01012021		cistogammagrafia indirecta ||| cistografia per raigs gamma indirecta			cistogammagrafia indirecta	cistografia per raigs gamma indirecta
13	densitometria de cos sencer o múltiple selectiva	ca	01012021		densitometria de cos sencer o múltiple selectiva			densitometria de cos sencer o múltiple selectiva	
14	densitometria selectiva	ca	01012021		densitometria selectiva			densitometria selectiva	
