SAMLEX_ID	SAMLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
1	abordatge	ca	01012021		abordatge			abordatge		Enfocament del procés d'atenció a una persona amb un problema de salut determinat.	NOTA: Són formes d'abordatge l'abordatge integral, l'abordatge interdisciplinari i l'abordatge multidisciplinari.
2	abordatge integral	ca	01012021		abordatge integral			abordatge integral		Abordatge des dels vessants mèdic, funcional, psicosocial i psicoeducatiu, practicat amb la finalitat de proporcionar una atenció integral.	
3	abordatge interdisciplinari	ca	01012021		abordatge interdisciplinari			abordatge interdisciplinari		Abordatge en què participen professionals de diferents àmbits i disciplines que treballen de manera transversal, fet de forma interactiva i integradora.	NOTA: L'abordatge interdisciplinari en l'àmbit de l'atenció a la salut mental i a les addiccions comprèn el treball d'equips de professionals de la psiquiatria, la psicologia, el treball social i la infermeria, entre altres.
4	abordatge multidisciplinari	ca	01012021		abordatge multidisciplinari			abordatge multidisciplinari		Abordatge en què participen professionals de diferents àmbits i disciplines que aporten coneixements propis de la seva disciplina, fet de forma mútua i acumulativa.	
5	acció preventiva ||| actuació preventiva ||| intervenció preventiva	ca	01012021		acció preventiva ||| actuació preventiva ||| intervenció preventiva			acció preventiva	actuació preventiva ||| intervenció preventiva	Intervenció establerta i implementada per a evitar conductes nocives i eliminar les causes o els factors de risc que poden afavorir o originar un problema de salut mental.	NOTA: 1. L'acció preventiva implica, també, el foment de l'empoderament i la promoció de la resiliència. NOTA: 2. L'acció preventiva s'adreça a una població concreta, principalment a la població de risc i a la població amb més vulnerabilitat.
6	acolliment residencial	ca	01012021		acolliment residencial			acolliment residencial		Servei temporal o permanent que té una funció substitutòria de la llar, el qual ofereix atenció integral a persones amb discapacitat o problemes de salut mental greus i en situació de desemparament, risc social o dependència, amb la condició que segueixin el tractament acordat i se sotmetin a una supervisió periòdica.	NOTA: 1. L'acolliment residencial basa l'atenció en un abordatge multidisciplinari i en el foment de l'autonomia i de les relacions socials per aconseguir una millora de la qualitat de vida. NOTA: 2. Són serveis d'acolliment residencial el centre residencial, la comunitat terapèutica, la llar amb suport i la llar residència.
7	acompanyament terapèutic	ca	01012021		acompanyament terapèutic			acompanyament terapèutic		Suport ofert per professionals de la salut i els serveis socials que consisteix a fomentar hàbits i relacions saludables i una gestió adequada de les emocions a les persones amb un trastorn mental greu en la seva vida quotidiana, amb l'objectiu que els pugui servir com a eina de rehabilitació complementària a les intervencions terapèutiques per a facilitar-los la integració social i la inclusió comunitària.	NOTA: 1. L'acompanyament terapèutic promou l'autocura i l'autonomia per millorar la qualitat de vida i procura reforçar els vincles familiars i socials per afavorir la inclusió social. NOTA: 2. L'acompanyament terapèutic és una manera d'oferir continuïtat assistencial a les persones amb un trastorn mental greu o un trastorn per ús de substàncies i d'evitar que el trastorn esdevingui crònic. NOTA: 3. Generalment, l'acompanyament terapèutic el duen a terme professionals de la infermeria o de la rehabilitació.
8	addicció	ca	01012021		addicció			addicció		Estat de dependència fisiològica i psicològica a una substància o a una pràctica, més enllà del control voluntari.	NOTA: L'addicció és un procés complex en el qual interactuen la persona, la substància i l'entorn sociocultural.
9	aïllament	ca	01012021		aïllament			aïllament		Mesura restrictiva consistent en la separació d'una persona amb un trastorn mental del seu entorn immediat amb l'objectiu de recloure-la sota control com a mesura de protecció d'ella mateixa, de l'entorn o de terceres persones.	
10	aïllament social	ca	01012021		aïllament social			aïllament social		Absència de relacions interpersonals i de comunicació amb altres persones, que pot ser causa o conseqüència d'algun problema social o de salut mental.	NOTA: 1. Sovint, l'aïllament social apareix com a resultat de la interacció entre els símptomes dels trastorns mentals greus i una resposta social que no és inclusiva. L'estigma i l'autoestigma també contribueixen a l'aïllament social. Així mateix, hi ha altres situacions adverses de caràcter social, com ara experiències d'assetjament escolar o situacions de rebuig, que poden provocar aïllament social i trastorns mentals. NOTA: 2. Amb el temps, l'aïllament social pot conduir a l'exclusió social.
11	alta dependència psiquiàtrica ||| ADP	ca	01012021		alta dependència psiquiàtrica ||| ADP			alta dependència psiquiàtrica	ADP	Situació d'una persona amb un trastorn mental greu i persistent, sovint associat a un altre problema de salut crònic, i amb una simptomatologia clínica persistent, que requereix atenció continuada i rehabilitació intensiva de manera temporal.	NOTA: L'alta dependència psiquiàtrica acostuma a requerir l'hospitalització psiquiàtrica.
12	anys de vida ajustats per discapacitat ||| AVAD	ca	01012021		anys de vida ajustats per discapacitat ||| AVAD			anys de vida ajustats per discapacitat	AVAD	Indicador de salut que mesura l'impacte d'una malaltia en funció del temps perdut per mort prematura i la discapacitat que porta associada, segons una escala de valors predefinits.	NOTA: 1. Els anys de vida ajustats per discapacitat es calculen sumant els anys potencials de vida perduts i els anys viscuts amb discapacitat. NOTA: 2. En salut mental, els anys de vida ajustats per discapacitat són significatius, atesa la mortalitat prematura i la discapacitat associades als trastorns mentals i als trastorns per ús de substàncies. NOTA: 3. Els anys de vida ajustats per discapacitat són un dels indicadors per a avaluar la càrrega de la malaltia, juntament amb els anys de vida ajustats per qualitat i els anys viscuts amb discapacitat. També són una eina de planificació sanitària.
13	anys de vida ajustats per qualitat ||| AVAQ	ca	01012021		anys de vida ajustats per qualitat ||| AVAQ			anys de vida ajustats per qualitat	AVAQ	Indicador de salut que mesura els anys de vida corregits en funció de la qualitat de vida, condicionada per l'existència de problemes de salut.	NOTA: 1. Els anys de vida ajustats per qualitat es calculen multiplicant els anys viscuts en un estat de salut concret pel valor d'utilitat relatiu a la qualitat de vida associada a aquest estat, que va de 0 a 1, en què 1 correspon a un estat de salut perfecte i 0, a la mort. NOTA: 2. Els anys de vida ajustats per qualitat són un indicador que permet associar un valor d'utilitat (satisfacció o qualitat de vida) a un estat de salut, definit pels anys viscuts en aquest estat. S'utilitzen en les anàlisis de cost-utilitat per a avaluar els resultats de les intervencions de salut i establir prioritats d'assignació de recursos sanitaris. En aquest sentit, permeten mesurar el cost i el benefici d'una intervenció sanitària en funció de l'esperança de vida subsegüent i la qualitat de vida experimentada en aquests anys. NOTA: 3. Els anys de vida ajustats per qualitat són un dels indicadors per a avaluar la càrrega de la malaltia, juntament amb els anys de vida ajustats per discapacitat i els anys viscuts amb discapacitat.
14	anys potencials de vida perduts ||| anys de vida perduts ||| APVP ||| AVP	ca	01012021		anys potencials de vida perduts ||| anys de vida perduts ||| APVP ||| AVP			anys potencials de vida perduts	anys de vida perduts ||| APVP ||| AVP	Indicador de salut que mesura l'impacte en la població de la mortalitat prematura a causa d'una malaltia o un grup de malalties en particular, determinat pels anys que haurien viscut totes les persones que moren per una causa determinada si s'haguessin complert les seves esperances de vida normals en el conjunt de la seva comunitat.	NOTA: 1. Per a calcular els anys potencials de vida perduts, se sol fixar una esperança de vida estàndard per a cada grup d'edat de la població. Els anys potencials de vida perduts es calculen restant l'edat de la defunció a l'esperança de vida presa com a referència. NOTA: 2. Els anys potencials de vida perduts són una eina útil, en termes de planificació sanitària, per a definir prioritats i programes de prevenció amb vista a reduir la mortalitat prematura. NOTA: 3. Els anys potencials de vida perduts són significatius en el cas de les persones amb trastorns mentals greus, les quals tenen una esperança de vida inferior a la de la població general. NOTA: 4. Els anys potencials de vida perduts són un dels paràmetres que s'utilitzen per a calcular els anys de vida ajustats per discapacitat, juntament amb el anys viscuts amb discapacitat.
15	anys viscuts amb discapacitat ||| AVD	ca	01012021		anys viscuts amb discapacitat ||| AVD			anys viscuts amb discapacitat	AVD	Indicador de salut que mesura els anys que una persona viu amb un mal estat de salut o amb una discapacitat provocada per una malaltia o un grup de malalties determinat.	NOTA: 1. Els anys viscuts amb discapacitat són una eina útil, en termes de planificació sanitària, per a definir prioritats i programes de prevenció. NOTA: 2. Els anys viscuts amb discapacitat són un dels indicadors per a avaluar la càrrega de la malaltia, juntament amb els anys de vida ajustats per discapacitat i els anys de vida ajustats per qualitat. NOTA: 3. Els anys viscuts amb discapacitat són un dels paràmetres que s'utilitzen per a calcular els anys de vida ajustats per discapacitat, juntament amb el anys potencials de vida perduts.
16	apoderat | apoderada	ca	01012021		apoderat | apoderada			apoderat | apoderada		Persona física o jurídica en qui recau l'exercici del poder preventiu.	
17	assistència	ca	01012021		assistència			assistència		Figura jurídica de suport i protecció de la capacitat d'obrar que té per objecte aconsellar i ajudar en la presa de decisions una persona amb una disminució no incapacitant de les facultats físiques o psíquiques, que no li impedeix exercir l'autonomia però li impossibilita tenir cura dels seus interessos.	NOTA: 1. L'assistència es materialitza amb el nomenament judicial de l'assistent, que no substitueix la voluntat de la persona assistida, sinó que actua de manera conjunta amb ella. La persona que ha de ser assistida té dret a decidir en relació amb el nomenament o l'exclusió d'alguna persona per a exercir la funció d'assistent. L'autoritat judicial determina l'àmbit personal o patrimonial de l'assistència i els interessos de què cal tenir cura. NOTA: 2. L'assistència és preferible a les figures que comporten la modificació de la capacitat, com la tutela i la curatela, perquè és més respectuosa amb la voluntat i l'autonomia de les persones.
18	assistència psiquiàtrica	ca	01012021		assistència psiquiàtrica			assistència psiquiàtrica		Conjunt d'intervencions terapèutiques, de rehabilitació, de promoció de la salut i de prevenció que el conjunt de professionals de la salut mental duu a terme en persones amb un trastorn mental o un trastorn per ús de substàncies en els àmbits comunitari, hospitalari o sociosanitari, basat en una atenció integrada i una atenció integral.	
19	assistència psiquiàtrica penitenciària	ca	01012021		assistència psiquiàtrica penitenciària			assistència psiquiàtrica penitenciària		Assistència psiquiàtrica que es presta en un centre penitenciari amb l'objectiu d'oferir tractament i rehabilitació a les persones internes i preparar-les per a la continuïtat assistencial i la reinserció en la comunitat.	
20	assistent	ca	01012021		assistent			assistent		Persona física o jurídica en qui recau l'exercici de l'assistència.	NOTA: L'assistent actua tant en l'àmbit personal com en l'àmbit patrimonial. En l'àmbit personal ha de vetllar pel benestar de la persona assistida, respectant-ne plenament la voluntat i les opcions personals. En l'àmbit patrimonial ha d'intervenir, juntament amb la persona assistida, en els actes jurídics relacionats amb les funcions de l'assistència.
21	atenció ambulatòria	ca	01012021		atenció ambulatòria			atenció ambulatòria		Atenció que es presta en un centre d'atenció sanitària sense que la persona atesa necessiti hospitalització.	NOTA: L'atenció ambulatòria a les persones amb un trastorn mental és una atenció especialitzada, que es presta, principalment, als centres d'atenció primària i als centres de salut mental o, quan hi ha un trastorn per ús de substàncies, als centres d'atenció i seguiment d'addiccions per evitar l'hospitalització psiquiàtrica.
