ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
	al·lèrgia	ca	01012021					al·lèrgia	
	al·lèrgia a arbres del gènere Populus ||| al·lèrgia a l'àlber (Populus alba) ||| al·lèrgia al clop (Populus nigra) ||| al·lèrgia al poll (Populus nigra) ||| al·lèrgia al pollancre (Populus nigra) ||| al·lèrgia al trèmol (Populus tremula) ||| al·lèrgia al xop (Populus nigra)	ca	01012021					al·lèrgia a arbres del gènere Populus 	al·lèrgia a l'àlber (Populus alba) ||| al·lèrgia al clop (Populus nigra) ||| al·lèrgia al poll (Populus nigra) ||| al·lèrgia al pollancre (Populus nigra) ||| al·lèrgia al trèmol (Populus tremula) ||| al·lèrgia al xop (Populus nigra)
	al·lèrgia a Atriplex lentiformis	ca	01012021					al·lèrgia a Atriplex lentiformis	
	al·lèrgia a Blomia tropicalis	ca	01012021					al·lèrgia a Blomia tropicalis	
	al·lèrgia a Botrytis cinerea	ca	01012021					al·lèrgia a Botrytis cinerea	
	al·lèrgia a Candida albicans	ca	01012021					al·lèrgia a Candida albicans	
	al·lèrgia a Cinnamomum	ca	01012021					al·lèrgia a Cinnamomum	
	al·lèrgia a Cladotanytarsus lewisi	ca	01012021					al·lèrgia a Cladotanytarsus lewisi	
	al·lèrgia a fàrmacs desconeguda ||| al·lèrgia a medicaments desconeguda	ca	01012021					al·lèrgia a fàrmacs desconeguda 	al·lèrgia a medicaments desconeguda
	al·lèrgia a Fusarium moniliforme	ca	01012021					al·lèrgia a Fusarium moniliforme	
	"al·lèrgia a Helminthosporium halodes

"	ca	01012021					"al·lèrgia a Helminthosporium halodes

"	
	al·lèrgia a Iva ciliata	ca	01012021					al·lèrgia a Iva ciliata	
	al·lèrgia a Juniperus monticola	ca	01012021					al·lèrgia a Juniperus monticola	
	al·lèrgia a l'?-tocoferol ||| al·lèrgia al tocoferol alfa ||| al·lèrgia a la vitamina E	ca	01012021					al·lèrgia a l'?-tocoferol 	al·lèrgia al tocoferol alfa ||| al·lèrgia a la vitamina E
	al·lèrgia a l'àcar del gra (Acarus siro)	ca	01012021					al·lèrgia a l'àcar del gra (Acarus siro)	
	al·lèrgia a l'acarbosa	ca	01012021					al·lèrgia a l'acarbosa	
	al·lèrgia a l'acebutolol	ca	01012021					al·lèrgia a l'acebutolol	
	al·lèrgia a l'acemetacina	ca	01012021					al·lèrgia a l'acemetacina	
	al·lèrgia a l'acenocumarol ||| al·lèrgia a l'acenocumarina	ca	01012021					al·lèrgia a l'acenocumarol 	al·lèrgia a l'acenocumarina
	al·lèrgia a l'acetaminofèn ||| al·lèrgia al paracetamol ||| al·lèrgia al NAPAP	ca	01012021					al·lèrgia a l'acetaminofèn 	al·lèrgia al paracetamol ||| al·lèrgia al NAPAP
